File,Model,Field Name,Field Type,Options
step/models.py,StepTransition,design,JSONField,"{'default': 'dict', 'blank': True, 'help_text': 'Store handles for frontend connections {source_handle, target_handle}'}"
step/models.py,StepTransition,created_at,DateTimeField,{'auto_now_add': True}
step/models.py,StepTransition,updated_at,DateTimeField,{'auto_now': True}
task/models.py,Task,task_id,AutoField,"{'primary_key': True, 'unique': True}"
task/models.py,Task,ticket_id,ForeignKey,{'on_delete': 'models.CASCADE'}
task/models.py,Task,workflow_id,ForeignKey,{'on_delete': 'models.CASCADE'}
task/models.py,Task,workflow_version,ForeignKey,"{'on_delete': 'models.SET_NULL', 'null': True, 'blank': True, 'related_name': 'tasks', 'help_text': 'The specific version of the workflow used for this task'}"
task/models.py,Task,current_step,ForeignKey,"{'on_delete': 'models.SET_NULL', 'null': True, 'blank': True, 'to_field': 'step_id'}"
task/models.py,Task,status,CharField,"{'max_length': 36, 'choices': 'TASK_STATUS_CHOICES', 'default': 'pending', 'help_text': 'Current status of the task'}"
task/models.py,Task,created_at,DateTimeField,{'auto_now_add': True}
task/models.py,Task,updated_at,DateTimeField,{'auto_now': True}
task/models.py,Task,fetched_at,DateTimeField,"{'null': True, 'blank': True}"
task/models.py,Task,target_resolution,DateTimeField,"{'null': True, 'blank': True, 'help_text': 'Target date and time for task resolution'}"
task/models.py,Task,resolution_time,DateTimeField,"{'null': True, 'blank': True, 'help_text': 'Actual date and time when the task was resolved'}"
task/models.py,TaskItem,task_item_id,AutoField,"{'primary_key': True, 'unique': True}"
task/models.py,TaskItem,task,ForeignKey,{'on_delete': 'models.CASCADE'}
task/models.py,TaskItem,role_user,ForeignKey,"{'on_delete': 'models.CASCADE', 'help_text': 'Link to RoleUsers for user and role info'}"
task/models.py,TaskItem,transferred_to,ForeignKey,"{'on_delete': 'models.SET_NULL', 'null': True, 'blank': True, 'related_name': 'transferred_task_items', 'help_text': 'User this task was transferred to'}"
task/models.py,TaskItem,transferred_by,IntegerField,"{'null': True, 'blank': True, 'help_text': 'User ID of the admin who transferred this task'}"
